id,behavior
0,MB_NORMAL
1,MB_NORMAL
2,MB_TALL_GRASS
3,MB_NORMAL
4,MB_NORMAL
5,MB_NORMAL
6,MB_TALL_GRASS
7,MB_TALL_GRASS
8,MB_SIGNPOST
9,MB_SIGNPOST
10,MB_SIGNPOST
11,MB_NORMAL
12,MB_NORMAL
13,MB_NORMAL
14,MB_NORMAL
15,MB_NORMAL
16,MB_NORMAL
17,MB_NORMAL
18,MB_NORMAL
19,MB_NORMAL
20,MB_NORMAL
21,MB_NORMAL
22,MB_NORMAL
23,MB_NORMAL
24,MB_ANIMATED_DOOR
25,MB_NORMAL
26,MB_NORMAL
27,MB_NORMAL
28,MB_NORMAL
29,MB_NORMAL
30,MB_NORMAL
31,MB_NORMAL
32,MB_NORMAL
33,MB_NORMAL
34,MB_NORMAL
35,MB_NORMAL
36,MB_NORMAL
37,MB_NORMAL
38,MB_NORMAL
39,MB_NORMAL
40,MB_NORMAL
41,MB_NORMAL
42,MB_NORMAL
43,MB_NORMAL
44,MB_NORMAL
45,MB_NORMAL
46,MB_NORMAL
47,MB_NORMAL
48,MB_NORMAL
49,MB_NORMAL
50,MB_NORMAL
51,MB_NORMAL
52,MB_NORMAL
53,MB_NORMAL
54,MB_NORMAL
55,MB_NORMAL
56,MB_NORMAL
57,MB_NORMAL
58,MB_NORMAL
59,MB_NORMAL
60,MB_NORMAL
61,MB_NORMAL
62,MB_NORMAL
63,MB_NORMAL
64,MB_NORMAL
65,MB_NORMAL
66,MB_NORMAL
67,MB_NORMAL
68,MB_NORMAL
69,MB_NORMAL
70,MB_NORMAL
71,MB_NON_ANIMATED_DOOR
72,MB_NORMAL
73,MB_NORMAL
74,MB_NORMAL
75,MB_NORMAL
76,MB_NORMAL
77,MB_NORMAL
78,MB_JUMP_WEST
79,MB_NORMAL
80,MB_NORMAL
81,MB_NORMAL
82,MB_NORMAL
83,MB_NORMAL
84,MB_POND_WATER
85,MB_NORMAL
86,MB_JUMP_WEST
87,MB_NORMAL
88,MB_NORMAL
89,MB_NORMAL
90,MB_NORMAL
91,MB_NORMAL
92,MB_POND_WATER
93,MB_NORMAL
94,MB_NORMAL
95,MB_NORMAL
96,MB_JUMP_SOUTH
97,MB_JUMP_SOUTH
98,MB_JUMP_SOUTH
99,MB_NORMAL
100,MB_NORMAL
101,MB_NORMAL
102,MB_NORMAL
103,MB_NORMAL
104,MB_NORMAL
105,MB_NORMAL
106,MB_NORMAL
107,MB_NORMAL
108,MB_NORMAL
109,MB_NORMAL
110,MB_NORMAL
111,MB_NORMAL
112,MB_NORMAL
113,MB_NORMAL
114,MB_NORMAL
115,MB_NORMAL
116,MB_NORMAL
117,MB_NORMAL
118,MB_NORMAL
119,MB_NORMAL
120,MB_NORMAL
121,MB_NORMAL
122,MB_NORMAL
123,MB_NORMAL
124,MB_NORMAL
125,MB_NORMAL
126,MB_NORMAL
127,MB_NORMAL
128,MB_NORMAL
129,MB_NORMAL
130,MB_NORMAL
131,MB_NORMAL
132,MB_NORMAL
133,MB_NORMAL
134,MB_NORMAL
135,MB_NORMAL
136,MB_NORMAL
137,MB_NORMAL
138,MB_NORMAL
139,MB_NORMAL
140,MB_NORMAL
141,MB_NORMAL
142,MB_NORMAL
143,MB_NORMAL
144,MB_NORMAL
145,MB_NORMAL
146,MB_NORMAL
147,MB_NORMAL
148,MB_NORMAL
149,MB_NORMAL
150,MB_NORMAL
151,MB_NORMAL
152,MB_NORMAL
153,MB_NORMAL
154,MB_NORMAL
155,MB_NORMAL
156,MB_NORMAL
157,MB_ANIMATED_DOOR
158,MB_NORMAL
159,MB_NORMAL
160,MB_OCEAN_WATER
161,MB_OCEAN_WATER
162,MB_OCEAN_WATER
163,MB_OCEAN_WATER
164,MB_OCEAN_WATER
165,MB_OCEAN_WATER
166,MB_SAND
167,MB_OCEAN_WATER
168,MB_OCEAN_WATER
169,MB_OCEAN_WATER
170,MB_OCEAN_WATER
171,MB_OCEAN_WATER
172,MB_OCEAN_WATER
173,MB_OCEAN_WATER
174,MB_SAND
175,MB_OCEAN_WATER
176,MB_OCEAN_WATER
177,MB_OCEAN_WATER
178,MB_OCEAN_WATER
179,MB_OCEAN_WATER
180,MB_OCEAN_WATER
181,MB_OCEAN_WATER
182,MB_OCEAN_WATER
183,MB_OCEAN_WATER
184,MB_OCEAN_WATER
185,MB_OCEAN_WATER
186,MB_OCEAN_WATER
187,MB_OCEAN_WATER
188,MB_OCEAN_WATER
189,MB_OCEAN_WATER
190,MB_OCEAN_WATER
191,MB_OCEAN_WATER
192,MB_OCEAN_WATER
193,MB_OCEAN_WATER
194,MB_OCEAN_WATER
195,MB_OCEAN_WATER
196,MB_OCEAN_WATER
197,MB_OCEAN_WATER
198,MB_SAND
199,MB_SAND
200,MB_NORMAL
201,MB_NORMAL
202,MB_OCEAN_WATER
203,MB_NORMAL
204,MB_NORMAL
205,MB_OCEAN_WATER
206,MB_SHALLOW_WATER
207,MB_OCEAN_WATER
208,MB_POND_WATER
209,MB_POND_WATER
210,MB_POND_WATER
211,MB_POND_WATER
212,MB_POND_WATER
213,MB_OCEAN_WATER
214,MB_SHALLOW_WATER
215,MB_OCEAN_WATER
216,MB_POND_WATER
217,MB_POND_WATER
218,MB_POND_WATER
219,MB_POND_WATER
220,MB_POND_WATER
221,MB_OCEAN_WATER
222,MB_OCEAN_WATER
223,MB_OCEAN_WATER
224,MB_POND_WATER
225,MB_POND_WATER
226,MB_POND_WATER
227,MB_POND_WATER
228,MB_POND_WATER
229,MB_SHALLOW_WATER
230,MB_SAND
231,MB_SHALLOW_WATER
232,MB_POND_WATER
233,MB_POND_WATER
234,MB_OCEAN_WATER
235,MB_POND_WATER
236,MB_POND_WATER
237,MB_SHALLOW_WATER
238,MB_OCEAN_WATER
239,MB_SHALLOW_WATER
240,MB_POND_WATER
241,MB_POND_WATER
242,MB_OCEAN_WATER
243,MB_SHALLOW_WATER
244,MB_SHALLOW_WATER
245,MB_SHALLOW_WATER
246,MB_SHALLOW_WATER
247,MB_SHALLOW_WATER
248,MB_NORMAL
249,MB_NORMAL
250,MB_OCEAN_WATER
251,MB_SAND
252,MB_SAND
253,MB_NORMAL
254,MB_NORMAL
255,MB_NORMAL
256,MB_PUDDLE
257,MB_PUDDLE
258,MB_PUDDLE
259,MB_OCEAN_WATER
260,MB_OCEAN_WATER
261,MB_NORMAL
262,MB_OCEAN_WATER
263,MB_NORMAL
264,MB_PUDDLE
265,MB_PUDDLE
266,MB_PUDDLE
267,MB_OCEAN_WATER
268,MB_OCEAN_WATER
269,MB_NORMAL
270,MB_OCEAN_WATER
271,MB_NORMAL
272,MB_PUDDLE
273,MB_PUDDLE
274,MB_PUDDLE
275,MB_OCEAN_WATER
276,MB_OCEAN_WATER
277,MB_OCEAN_WATER
278,MB_OCEAN_WATER
279,MB_OCEAN_WATER
280,MB_NORMAL
281,MB_NORMAL
282,MB_NORMAL
283,MB_OCEAN_WATER
284,MB_OCEAN_WATER
285,MB_OCEAN_WATER
286,MB_OCEAN_WATER
287,MB_OCEAN_WATER
288,MB_NORMAL
289,MB_NORMAL
290,MB_NORMAL
291,MB_NORMAL
292,MB_NORMAL
293,MB_NORMAL
294,MB_NORMAL
295,MB_NORMAL
296,MB_NORMAL
297,MB_OCEAN_WATER
298,MB_NORMAL
299,MB_OCEAN_WATER
300,MB_OCEAN_WATER
301,MB_NORMAL
302,MB_NORMAL
303,MB_NORMAL
304,MB_NORMAL
305,MB_OCEAN_WATER
306,MB_NORMAL
307,MB_OCEAN_WATER
308,MB_OCEAN_WATER
309,MB_NORMAL
310,MB_NORMAL
311,MB_NORMAL
312,MB_NORMAL
313,MB_NORMAL
314,MB_NORMAL
315,MB_NORMAL
316,MB_NORMAL
317,MB_NORMAL
318,MB_NORMAL
319,MB_NORMAL
320,MB_NORMAL
321,MB_NORMAL
322,MB_NORMAL
323,MB_NORMAL
324,MB_NORMAL
325,MB_NORMAL
326,MB_NORMAL
327,MB_NORMAL
328,MB_NORMAL
329,MB_NORMAL
330,MB_NORMAL
331,MB_NORMAL
332,MB_NORMAL
333,MB_NORMAL
334,MB_NORMAL
335,MB_NORMAL
336,MB_NORMAL
337,MB_NORMAL
338,MB_NORMAL
339,MB_NORMAL
340,MB_NORMAL
341,MB_NORMAL
342,MB_NORMAL
343,MB_NORMAL
344,MB_NORMAL
345,MB_NORMAL
346,MB_NORMAL
347,MB_NORMAL
348,MB_NORMAL
349,MB_NORMAL
350,MB_NORMAL
351,MB_NORMAL
352,MB_NORMAL
353,MB_NORMAL
354,MB_NORMAL
355,MB_NORMAL
356,MB_NORMAL
357,MB_NORMAL
358,MB_NORMAL
359,MB_NORMAL
360,MB_NORMAL
361,MB_NORMAL
362,MB_NORMAL
363,MB_NORMAL
364,MB_NORMAL
365,MB_NORMAL
366,MB_NORMAL
367,MB_NORMAL
368,MB_NORMAL
369,MB_NORMAL
370,MB_NORMAL
371,MB_NORMAL
372,MB_NORMAL
373,MB_NORMAL
374,MB_NORMAL
375,MB_NORMAL
376,MB_NORMAL
377,MB_NORMAL
378,MB_NORMAL
379,MB_NORMAL
380,MB_NORMAL
381,MB_NORMAL
382,MB_NORMAL
383,MB_NORMAL
384,MB_NORMAL
385,MB_NORMAL
386,MB_NORMAL
387,MB_NORMAL
388,MB_NORMAL
389,MB_NORMAL
390,MB_NORMAL
391,MB_NORMAL
392,MB_NORMAL
393,MB_NORMAL
394,MB_NORMAL
395,MB_NORMAL
396,MB_NORMAL
397,MB_NORMAL
398,MB_NORMAL
399,MB_NORMAL
400,MB_NORMAL
401,MB_NORMAL
402,MB_NORMAL
403,MB_NORMAL
404,MB_NORMAL
405,MB_NORMAL
406,MB_NORMAL
407,MB_NORMAL
408,MB_NORMAL
409,MB_NORMAL
410,MB_NORMAL
411,MB_NORMAL
412,MB_NORMAL
413,MB_NORMAL
414,MB_NORMAL
415,MB_NORMAL
416,MB_NORMAL
417,MB_NORMAL
418,MB_NORMAL
419,MB_NORMAL
420,MB_NORMAL
421,MB_NORMAL
422,MB_NORMAL
423,MB_NORMAL
424,MB_NORMAL
425,MB_NORMAL
426,MB_NORMAL
427,MB_NORMAL
428,MB_NORMAL
429,MB_NORMAL
430,MB_NORMAL
431,MB_NORMAL
432,MB_NORMAL
433,MB_NORMAL
434,MB_NORMAL
435,MB_NORMAL
436,MB_NORMAL
437,MB_NORMAL
438,MB_NORMAL
439,MB_NORMAL
440,MB_NORMAL
441,MB_NORMAL
442,MB_NORMAL
443,MB_NORMAL
444,MB_NORMAL
445,MB_NORMAL
446,MB_NORMAL
447,MB_NORMAL
448,MB_NORMAL
449,MB_NORMAL
450,MB_NORMAL
451,MB_NORMAL
452,MB_NORMAL
453,MB_NORMAL
454,MB_NORMAL
455,MB_NORMAL
456,MB_NORMAL
457,MB_NORMAL
458,MB_NORMAL
459,MB_NORMAL
460,MB_NORMAL
461,MB_NORMAL
462,MB_NORMAL
463,MB_NORMAL
464,MB_NORMAL
465,MB_NORMAL
466,MB_NORMAL
467,MB_NORMAL
468,MB_NORMAL
469,MB_NORMAL
470,MB_NORMAL
471,MB_NORMAL
472,MB_NORMAL
473,MB_NORMAL
474,MB_NORMAL
475,MB_NORMAL
476,MB_NORMAL
477,MB_NORMAL
478,MB_NORMAL
479,MB_NORMAL
480,MB_NORMAL
481,MB_NORMAL
482,MB_NORMAL
483,MB_NORMAL
484,MB_NORMAL
485,MB_NORMAL
486,MB_NORMAL
487,MB_NORMAL
488,MB_NORMAL
489,MB_NORMAL
490,MB_NORMAL
491,MB_NORMAL
492,MB_NORMAL
493,MB_NORMAL
494,MB_NORMAL
495,MB_NORMAL
496,MB_NORMAL
497,MB_NORMAL
498,MB_NORMAL
499,MB_NORMAL
500,MB_NORMAL
501,MB_NORMAL
502,MB_NORMAL
503,MB_NORMAL
504,MB_NORMAL
505,MB_NORMAL
506,MB_NORMAL
507,MB_NORMAL
508,MB_NORMAL
509,MB_NORMAL
510,MB_NORMAL
511,MB_NORMAL
